school_type,dataset,path,size,md5
Förskola,"Anställda, andel (%) heltidstjänster med förskollärarexamen",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20f%C3%B6rskoll%C3%A4rarexamen.csv,24611,e9704a243d6d6ea7ec2641235202850c
Förskola,"Anställda, andel (%) heltidstjänster med förskollärarexamen, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20f%C3%B6rskoll%C3%A4rarexamen%2C%20enskild%20regi.csv,24278,b7f2d33090951379310bb0121dabba1d
Förskola,"Anställda, andel (%) heltidstjänster med förskollärarexamen, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20f%C3%B6rskoll%C3%A4rarexamen%2C%20kommunal%20regi.csv,24611,0b72e68b242b97fe8da9be9f88072145
Förskola,"Anställda, andel (%) heltidstjänster med förskollärlegitimation",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20f%C3%B6rskoll%C3%A4rlegitimation.csv,23968,627c710ad3751404dc27c2cbb6960339
Förskola,"Anställda, andel (%) heltidstjänster med förskollärlegitimation, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20f%C3%B6rskoll%C3%A4rlegitimation%2C%20enskild%20regi.csv,23746,9e24e50405b1a5d3c02057adca1093ba
Förskola,"Anställda, andel (%) heltidstjänster med förskollärlegitimation, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20f%C3%B6rskoll%C3%A4rlegitimation%2C%20kommunal%20regi.csv,23968,93fcdc4875bb850b8aec6facf5e5030d
Förskola,"Anställda, andel (%) heltidstjänster med gymnasial utbildning för arbete med barn",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20gymnasial%20utbildning%20f%C3%B6r%20arbete%20med%20barn.csv,23311,f25f10a8d8961c58658ff32f5bc309e9
Förskola,"Anställda, andel (%) heltidstjänster med gymnasial utbildning för arbete med barn, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20gymnasial%20utbildning%20f%C3%B6r%20arbete%20med%20barn%2C%20enskild%20regi.csv,23186,75c4f2082b126dc2a34f315e8dc5ebaa
Förskola,"Anställda, andel (%) heltidstjänster med gymnasial utbildning för arbete med barn, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20gymnasial%20utbildning%20f%C3%B6r%20arbete%20med%20barn%2C%20kommunal%20regi.csv,23306,75db367dd421806c6b1832bca924de6f
Förskola,"Anställda, andel (%) heltidstjänster med pedagogisk högskoleexamen",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20pedagogisk%20h%C3%B6gskoleexamen.csv,24611,a573ba5404cfa6c7a29d789c1897ba00
Förskola,"Anställda, andel (%) heltidstjänster med pedagogisk högskoleexamen, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20pedagogisk%20h%C3%B6gskoleexamen%2C%20enskild%20regi.csv,24294,42c6215916eb2edb9db4d00ee9597c65
Förskola,"Anställda, andel (%) heltidstjänster med pedagogisk högskoleexamen, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20pedagogisk%20h%C3%B6gskoleexamen%2C%20kommunal%20regi.csv,24611,5b6feaeaaef67493539033ba4571d6a7
Förskola,"Anställda, andel (%) heltidstjänster med viss pedagogisk utbildning",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20viss%20pedagogisk%20utbildning.csv,22758,a2082c939e9475da0585afcf0d6c7fe8
Förskola,"Anställda, andel (%) heltidstjänster med viss pedagogisk utbildning, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20viss%20pedagogisk%20utbildning%2C%20enskild%20regi.csv,22855,046dad50cdcb76375d9e7665e4f41a56
Förskola,"Anställda, andel (%) heltidstjänster med viss pedagogisk utbildning, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20viss%20pedagogisk%20utbildning%2C%20kommunal%20regi.csv,22755,e78ae53d9ac117c4b01f7987509d9550
Förskola,"Anställda, andel (%) heltidstjänster med övrig utbildning",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20%C3%B6vrig%20utbildning.csv,24549,ac275fe19b559753916d29c86c947542
Förskola,"Anställda, andel (%) heltidstjänster med övrig utbildning, enskild regi.",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20%C3%B6vrig%20utbildning%2C%20enskild%20regi..csv,24270,e4c4a68c568fea5f0b32018e1244f04f
Förskola,"Anställda, andel (%) heltidstjänster med övrig utbildning, kommunal regi.",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20heltidstj%C3%A4nster%20med%20%C3%B6vrig%20utbildning%2C%20kommunal%20regi..csv,24514,2c324083354c67f6b82251a2ffcacf96
Förskola,"Anställda, andel (%) årsarbetare med annan utbildning för arbete med barn",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20annan%20utbildning%20f%C3%B6r%20arbete%20med%20barn.csv,25160,bc85f960e221c454f3af183f2293a067
Förskola,"Anställda, andel (%) årsarbetare med annan utbildning för arbete med barn, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20annan%20utbildning%20f%C3%B6r%20arbete%20med%20barn%2C%20enskild%20regi.csv,26557,6dcbfb37a6ea9903304a3112076581c5
Förskola,"Anställda, andel (%) årsarbetare med annan utbildning för arbete med barn, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Anst%C3%A4llda%2C%20andel%20%28%25%29%20%C3%A5rsarbetare%20med%20annan%20utbildning%20f%C3%B6r%20arbete%20med%20barn%2C%20kommunal%20regi.csv,25157,1c1a9377bfdda343af25ad3602ca2964
