databas,skolnivå,dataset,år,uttag,format,url
siris,Gymnasieskolan,"21-Antal elever som började 2011 eller senare, per program",2015,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/21-Antal%20elever%20som%20b%C3%B6rjade%202011%20eller%20senare%2C%20per%20program/EXCEL/2015-1.xlsx
siris,Gymnasieskolan,"21-Antal elever som började 2011 eller senare, per program",2018,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/21-Antal%20elever%20som%20b%C3%B6rjade%202011%20eller%20senare%2C%20per%20program/EXCEL/2018-1.xlsx
siris,Gymnasieskolan,"21-Antal elever som började 2011 eller senare, per program",2019,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/21-Antal%20elever%20som%20b%C3%B6rjade%202011%20eller%20senare%2C%20per%20program/EXCEL/2019-1.xlsx
siris,Gymnasieskolan,"21-Antal elever som började 2011 eller senare, per program",2017,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/21-Antal%20elever%20som%20b%C3%B6rjade%202011%20eller%20senare%2C%20per%20program/EXCEL/2017-1.xlsx
siris,Gymnasieskolan,"21-Antal elever som började 2011 eller senare, per program",2016,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/21-Antal%20elever%20som%20b%C3%B6rjade%202011%20eller%20senare%2C%20per%20program/EXCEL/2016-1.xlsx
siris,Gymnasieskolan,"21-Antal elever som började 2011 eller senare, per program",2019,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/21-Antal%20elever%20som%20b%C3%B6rjade%202011%20eller%20senare%2C%20per%20program/XML/2019-1.xml
siris,Gymnasieskolan,"21-Antal elever som började 2011 eller senare, per program",2015,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/21-Antal%20elever%20som%20b%C3%B6rjade%202011%20eller%20senare%2C%20per%20program/XML/2015-1.xml
siris,Gymnasieskolan,"21-Antal elever som började 2011 eller senare, per program",2018,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/21-Antal%20elever%20som%20b%C3%B6rjade%202011%20eller%20senare%2C%20per%20program/XML/2018-1.xml
siris,Gymnasieskolan,"21-Antal elever som började 2011 eller senare, per program",2016,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/21-Antal%20elever%20som%20b%C3%B6rjade%202011%20eller%20senare%2C%20per%20program/XML/2016-1.xml
siris,Gymnasieskolan,"21-Antal elever som började 2011 eller senare, per program",2017,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/21-Antal%20elever%20som%20b%C3%B6rjade%202011%20eller%20senare%2C%20per%20program/XML/2017-1.xml
siris,Gymnasieskolan,"21-Antal elever som började 2011 eller senare, per program",2017,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/21-Antal%20elever%20som%20b%C3%B6rjade%202011%20eller%20senare%2C%20per%20program/CSV/2017-1.csv
siris,Gymnasieskolan,"21-Antal elever som började 2011 eller senare, per program",2019,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/21-Antal%20elever%20som%20b%C3%B6rjade%202011%20eller%20senare%2C%20per%20program/CSV/2019-1.csv
